sequence,event_type,symbol,recorded_decision,replayed_decision,matched,detail
562,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
563,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
564,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
565,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
566,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
567,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
568,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
569,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
570,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
571,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
572,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
573,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
574,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
575,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
576,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
577,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
578,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
579,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
580,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
581,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
582,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
583,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
584,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
585,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
586,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
587,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
588,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
589,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
590,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
591,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
592,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
593,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
594,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
595,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
596,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
597,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
598,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
599,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
600,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
601,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
602,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
603,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
604,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
605,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
606,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
607,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
608,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
609,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
610,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
611,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
612,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
613,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
614,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
615,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
616,position_evaluated,RISHABH-EQ,hold,hold,True,target and post-trail stop decision
